"setting","ARI 1","Dunn 1","ARI2","Dunn2","BIC2","ARI3","Dunn3","BIC3","ARI4","nARI4","Dunn4","nDunn4","ARI5","Dunn5","ARI6","Dunn6"
19,0.940601785143401,0.0665158849985859,0.979999505050755,0.075986854981628,1359.52676271467,0.979999505050755,0.075986854981628,-1001.04931809806,0.940601785143401,3,0.0665158849985859,3,0.979999505050755,0.075986854981628,0.960200080403878,0.0435419513529581
20,0.864221036954136,0.0476753108357538,0.9602,0.0444807170063609,1332.6529063787,0.960200080403878,0.0323962410352144,-1000.66030882528,0.718263426729783,4,0.0242654037409586,9,0.979999505050755,0.0593526249614614,0.902008813020038,0.0931955491661332
21,0.902009371262632,0.0558172149837724,1,0.0826624878982002,1321.8835935497,1,0.0826624878982002,-912.561246361619,0.96020019739094,5,0.0798101432124676,5,1,0.0826624878982002,0.921205055187421,0.0558172149837724
22,0.902011093460342,0.0421292243612282,0.97999982828569,0.0524712746129813,1322.35236145104,0.97999982828569,0.0524712746129813,-962.434492947797,0.687207368807948,8,0.043689025405763,9,0.97999982828569,0.0524712746129813,0.902011093460342,0.0421292243612282
23,0.960200120203677,0.0945146614350583,0.979999686871692,0.0997612832432869,1281.73867767429,0.960200618699473,0.0997612832432869,-956.096615546561,0.979999686871692,5,0.0997612832432869,5,0.960200120203677,0.0945146614350583,0.960200120203677,0.0945146614350583
24,1,0.173357253323141,1,0.173357253323141,1229.39327509045,1,0.173357253323141,-896.707351949241,0.845627136525602,5,0.0267866624586231,5,1,0.173357253323141,1,0.173357253323141
25,0.902008183504801,0.0353267507572418,0.902008183504801,0.0353267507572418,1293.62624880472,0.921204431198225,0.0721807962630607,-1052.61823011196,0.817881377193523,9,0.0523265888390711,9,0.791056487801581,0.0920020802192964,0.921204431198225,0.0721807962630607
26,0.88301424822579,0.0921807201080864,0.864220164693144,0.0631370551149145,1299.18513313072,0.88301424822579,0.0921807201080864,-1065.08667437529,0.695125567147456,3,0.0226591472578191,1,0.88301424822579,0.0921807201080864,0.845627136525602,0.0184500662481958
27,0.940602325119809,0.0502207131453528,0.960200592970963,0.0967694056071357,1278.25154011701,0.960200592970963,0.0967694056071357,-979.512657305784,0.864219528319563,4,0.052562947715958,7,0.940602325119809,0.107261170565554,0.864219528319563,0.0502207131453528
28,0.332686780862099,0.0358944863245055,0.356470554672561,0.02621110877307,1638.60515230374,0.432751208155442,0.0101508711001059,-973.475943304261,0.272298109025547,8,0.0185779198390708,4,0.368878642418195,0.0383714743766817,0.356470554672561,0.0437527026128459
29,0.310560054875127,0.0368451071607315,0.687335578065729,0.0132874920821008,1596.67407356535,0.670749694890293,0.0179392712550086,-970.138027578443,0.164772942268019,5,0.0375327250907897,8,0.227156972007411,0.0530681978589159,0.459878392061027,0.0212569502410809
30,0.590913566731319,0.0381775239661272,0.845625519522217,0.0203810388988412,1625.32664999887,0.864218518887166,0.0203810388988412,-927.756916491958,0.738299152154421,4,0.0616979603900063,1,0.86421829395725,0.0374000924097704,0.622253918835139,0.0130457683011589
31,0.299697480815033,0.0596257604523327,0.516098164074867,0.0166249021916441,1557.89232597727,0.47366078006976,0.0200021327500166,-934.616007441905,0.323902569242592,4,0.0447894451545383,1,0.381751785032975,0.0723591192876297,0.322129587908775,0.0297759991938354
