"G1_mu_x1","G1_mu_x2","G2_mu_x1","G2_mu2_x2","dist_between_means","G1_var_x1","G1_var_x2","G1_covar","G1_corr","G2_var_x1","G2_var_x2","G2_covar","G2_corr","G1_skew_x1","G1_skew_x2","G2_skew_x1","G2_skew_x2"
42,0.381587466010618,0.0407789588103208,0.960200592970963,0.0352244300289074,1627.73625441872,0.960200592970963,0.0352244300289074,-962.271555986027,0.583052089697252,2,0.0242054550150412,7,0.487589223166783,0.0707918581857579,0.381587466010618,0.0407789588103208
43,0.235431521819917,0.0469387371491908,0.883013939813602,0.0285897815184734,1588.04335188678,0.883013939813602,0.0285897815184734,-1016.96741552702,0.589517295290762,5,0.0388452514621007,6,0.123777754154588,0.0820518004249596,0.235431521819917,0.0469387371491908
44,0.190472694318743,0.0237286587218466,0.791051295904084,0.020973156706119,1595.98982333896,0.791051295904084,0.020973156706119,-1084.03184895914,0.43331115358305,9,0.0527798757743227,1,0.093174882928396,0.0897968977317334,0.217778582776799,0.0527798757743227
45,0.298302750298332,0.0425619279517258,0.979997740003734,0.0228415596746121,1622.83611329346,0.979997740003734,0.0228415596746121,-1006.04964162894,0.901987808975697,1,0.0307255056277652,4,0.26636727621631,0.0249193912349208,0.654387938578873,0.0151143120427708
46,0.738298065754255,0.0421659281729138,0.773261064119062,0.0419969829386959,1324.16387815273,0.79105010553025,0.0326948012589294,-956.631123354174,0.738298065754255,4,0.0421659281729138,4,0.704142418225267,0.0414929635258551,0.704122695023999,0.0336727597536941
47,0.773261064119062,0.0471613262351378,0.670795679818707,0.0141411790466882,1253.17707716248,0.773261485531208,0.0203941815549021,-948.699870924698,0.740248645536328,9,0.0470560961307533,9,0.530657220765109,0.055519135889247,0.773261064119062,0.0471613262351378
48,0.826910911010832,0.0572954353455499,0.960162415854958,0.0501480807082306,1280.96750871671,0.960162415854958,0.0501480807082306,-831.885605808641,0.940574233322268,2,0.051793244689919,2,0.979982770655475,0.106598634152291,0.84536022390389,0.0265690002206363
49,0.755686451635554,0.0475753843387357,0.845627136525602,0.0238804330050056,1299.93489515543,0.84562570196306,0.0123942971534303,-906.673292077516,0,1,0,1,0.809046468261654,0.047350316626162,0.755686451635554,0.0475753843387357
50,0.791063815113801,0.0738602074425066,0.791053482441959,0.0384161885916933,1212.94029922975,0.809054800151229,0.0685561468536101,-905.070720587897,0.54545931896348,4,0.0437768688792419,3,0.809054800151229,0.0685561468536101,0.791063815113801,0.0738602074425066
51,0.96020019739094,0.0334000472233984,1,0.0761769318572879,1235.23013615704,1,0.0761769318572879,-802.361050660575,0.979999544647596,1,0.112822481077821,1,0.979999544647596,0.112822481077821,0.96020019739094,0.0334000472233984
52,0.704125142636886,0.0226430684048535,0.704131000007585,0.0424819701370906,1285.09907056662,0.704138028546305,0.0226430684048535,-1063.34844556986,0.487637773263767,1,0.0702151690525729,9,0.687359275086448,0.0322644984566262,0.704131000007585,0.0159644574759462
53,0.70411666995821,0.0549289626629825,0.687333544198813,0.0549289626629825,1187.40480075311,0.687331421874688,0.0199516848337037,-976.004811169333,0.368893407660732,5,0.0431388382626281,3,0.670754420667494,0.041445209353065,0.67074697110486,0.0359661686987304
54,0.864222468754487,0.0743975434884176,0.864221086327065,0.0453914864102675,1196.58388268192,0.883015902516282,0.0673328021745514,-946.419450992132,0.845630192678634,2,0.0527354723611576,4,0.864222468754487,0.0743975434884176,0.864222468754487,0.0743975434884176
55,0.68734430697046,0.0273499384452424,0.654368389103091,0.0304259307859328,1226.14628737774,0.575489868932517,0.0173625762479413,-846.572480166727,0.654383260869877,9,0.0317105979057467,7,0.406531445489745,0.0387745608271149,0.68734430697046,0.0273499384452424
56,0.73828696333767,0.0483243083619033,0.721101600622522,0.0679202966303046,1177.63057023827,0.721101600622522,0.0679202966303046,-843.578146360073,0.721103133129599,7,0.0733160147960499,8,0.704122025584362,0.0453979117019084,0.687332280914114,0.0193899490397396
57,0.902008183504801,0.0508522517938087,0.921204346035668,0.0436060408056363,1168.29290654271,0.921204346035668,0.0734333976696652,-730.152292484309,0.940601662747383,1,0.0746224943653943,8,0.921204346035668,0.0734333976696652,0.940601662747383,0.0433137636534787
58,0.59084495608223,0.010701847982734,0.32214028663469,0.011184791868669,1160.02253926363,0.606431966012639,0.0164762210138703,-817.739704289021,0.59084495608223,5,0.046785948129128,4,0.501694360664777,0.040785457298127,0.59084495608223,0.0240762523066863
59,0.638183221592353,0.0438630335942088,0.606423748821015,0.0277306269777789,1081.54236920276,0.622202453921175,0.0399972382637131,-750.567268259402,0.000662490849707129,7,0.0649759189748558,7,0.638183221592353,0.0438630335942088,0.638183221592353,0.0438630335942088
60,0.940601883539833,0.0754439501169191,0.940601883539833,0.0754439501169191,1178.71329311279,0.921204346035668,0.0769885813025536,-659.663134214765,0.827236100632415,8,0.0342838243217946,8,0.921204346035668,0.0769885813025536,0.940601883539833,0.0754439501169191
61,0.501578085296912,0.0143490414380437,0.187888283626956,0.0162545911819072,1131.27727308644,0.23513220287546,0.0224248576032377,-935.572220312611,0.332995933012904,6,0.0337578042398394,4,0.321373529481593,0.029681848936522,0.515956920254794,0.0143804269606588
62,0.687193219315838,0.0342871599079066,0.590913384945986,0.0207339512132262,1118.33565091656,0.560348464688613,0.0301029227080274,-895.839579654035,0.627159708137208,1,0.0346944280707084,7,0.703957858705185,0.0505102617255484,0.606433397128492,0.0266807042933689
63,0.940602670699558,0.0597620097635183,0.940602670699558,0.0597620097635183,1153.80731134044,0.940602670699558,0.0597620097635183,-882.470108733859,0.575532056167792,5,0.0419646853055409,8,0.590960313250677,0.038807643680193,0.883012701421855,0.0656004559239881
64,0.755698256397929,0.0451564371682737,0.921205517601609,0.0646630180345168,1237.77589552846,0.921205517601609,0.0646630180345168,-890.966027856195,0.864223061214764,2,0.0455666862828011,2,0.883015836345561,0.0893745847581022,0.755698256397929,0.0451564371682737
65,0.755679255698194,0.0161162021339447,0.902008813020038,0.0928373297804928,1233.95748067127,0.902008813020038,0.0928373297804928,-893.701712002616,0.921205055187421,3,0.0928373297804928,7,0.902008813020038,0.0928373297804928,0.755679255698194,0.0161162021339447
66,0.845630509201854,0.022152403481069,1,0.13182114504329,1267.12882760564,1,0.13182114504329,-822.603886109555,0.902009371262632,2,0.0596884133350249,2,1,0.13182114504329,0.902009371262632,0.0596884133350249
67,0.721136494789286,0.0401156819635857,0.845624841212737,0.0289649986731739,1199.64067906164,0.864218518887166,0.0275260800152851,-850.742463089898,0.864218518887166,9,0.0321958087187829,6,0.883015836345561,0.0870935227737742,0.809053565843098,0.0289634204485489
68,0.809045687109727,0.0775233938109067,0.940603023474737,0.0400330875616802,1133.7231118959,0.940603006676014,0.00368677395135236,-821.041141224389,0.921206086658093,3,0.0775233938109067,5,0.940603045073081,0.0754856187392019,0.883015215991407,0.0291552324288884
69,0.901965088020875,0.0244869915985875,0.979994837181788,0.0696824198356501,1155.37236171728,0.979994837181788,0.0696824198356501,-780.5608210361,0.940582072885546,1,0.0674681639213996,1,0.940582072885546,0.0674681639213996,0.901965088020875,0.0244869915985875
70,0.845630192678634,0.0730548895714578,0.827237915461852,0.0462957329307732,1196.9410051343,0.827237915461852,0.0462957329307732,-999.715431278601,0.371016559184636,9,0.0211087500577688,6,0.791060446977651,0.0617714813102774,0.845630192678634,0.0730548895714578
71,0.622247326248496,0.0268063211926372,0.809047764381122,0.0410655394284151,1144.91224845473,0.773271012692104,0.0490407376038159,-1020.44975224355,0.638222980367163,2,0.0235614728707748,3,0.516055588447448,0.0572186210219578,0.622247326248496,0.0268063211926372
72,0.791058285910803,0.0348809283305744,1,0.0501833796915787,1197.92340948575,1,0.0501833796915787,-939.799762826065,0.940601662747383,2,0.0522167124628047,3,0.921204346035668,0.0522167124628047,0.827236100632415,0.023737346481781
73,0.16292570305188,0.0380373693894481,0.670759422327538,0.0102805140989725,1569.55919011602,0.638193512936956,0.0121233157904934,-920.298385158907,0.383550531787277,1,0.0145550956592399,1,0.0899809219682701,0.060901514245744,0.171317972126549,0.0163573943344857
74,0.333277837272463,0.0197558789200117,0.654390968549664,0.0114492891257856,1532.37363102179,0.622236643327894,0.0114492891257856,-891.959134431911,0.420265687686814,2,0.0186148824917767,2,0.208035762961348,0.0869237110364958,0.333277837272463,0.0197558789200117
75,0.703976455149378,0.0400530490889132,0.773266494261043,0.0147818822230476,1529.60586110888,0.80904098077522,0.00289667342784484,-817.918537323659,0.560543247441545,3,0.016427775125185,5,0.704114024948551,0.0432747523453122,0.703976455149378,0.0400530490889132
76,0.32201023728211,0.0548084445301176,0.487434721536602,0.00637493149797392,1462.63695178656,0.575472429950042,0.00842041424337207,-809.566627224473,0.432929353720133,1,0.0504883007448467,6,0.310684340242935,0.0550556186879941,0.406858458064624,0.0229184522794719
77,0.297555027424517,0.0475709710047985,0.515738048555064,0.0117226989196052,1383.58958958986,0.515692041943548,0.0117226989196052,-813.178221522047,0.282333017441198,8,0.0760002793215724,8,0.214060461880359,0.0628032113290268,0.320346622923827,0.0199230607949259
78,0.721024514075702,0.0154389914792048,0.73822191597576,0.0105346198642469,1460.01436684834,0.70402703008552,0.0105346198642469,-726.325703442869,0.473033265450847,8,0.0521603025789566,8,0.622037158582596,0.0762828577571112,0.73822191597576,0.025666265338103
79,0.19801885174805,0.0313636372892474,0.515980051055462,0.00941558252987308,1545.94680799133,0.487432210523515,0.00999189531295094,-997.536289572508,0,1,0,1,0.117917550647588,0.0233536357231695,0.216604710551168,0.0474261492775015
80,0.217839322730275,0.0215421780652183,0.670761417628236,0.0133800397646147,1440.53374442774,0.670761417628236,0.0133800397646147,-876.353589723607,0.106156033774033,7,0.0517330945993958,7,0.0815079693340824,0.0484051723202151,0.190625536645547,0.0128759096144485
81,0.345271612848615,0.0398613859264867,0.687330727059935,0.0212171167638439,1527.9177398514,0.687330727059935,0.0212171167638439,-845.769201575596,0.670751627121011,2,0.0226685935619635,6,0.299580440092529,0.0488046797394197,0.530657220765109,0.0166317272605299
82,0.23726407885399,0.0382022447282655,0.827231905438432,0.027820652634769,1658.25674957695,0.845624242424242,0.0287053558738713,-974.187697657073,0.424871189123783,7,0.0606728904435749,4,0.173644373902118,0.0464151649549265,0.560290626115845,0.00874797776076672
